region,country,year,population_m,status,death_criterion,donors,donors_pmp
Eastern Mediterranean,Afghanistan,2022,40.8,actual,dbd,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,actual,dcd,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,actual,total,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,utilized,dbd,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,utilized,dcd,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,utilized,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,actual,dbd,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,actual,dcd,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,actual,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,utilized,dbd,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,utilized,dcd,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,utilized,total,0,0
Europe,Albania,2010,3.2,actual,dbd,0,0
Europe,Albania,2010,3.2,actual,dcd,0,0
Europe,Albania,2010,3.2,actual,total,0,0
Europe,Albania,2011,3.2,actual,dbd,0,0
Europe,Albania,2011,3.2,actual,dcd,0,0
Europe,Albania,2011,3.2,actual,total,0,0
Europe,Albania,2011,3.2,utilized,dbd,0,0
Europe,Albania,2011,3.2,utilized,dcd,0,0
Europe,Albania,2011,3.2,utilized,total,0,0
Europe,Albania,2012,3.2,actual,dbd,0,0
Europe,Albania,2012,3.2,actual,dcd,0,0
Europe,Albania,2012,3.2,actual,total,0,0
Europe,Albania,2012,3.2,utilized,dbd,0,0
Europe,Albania,2012,3.2,utilized,dcd,0,0
Europe,Albania,2012,3.2,utilized,total,0,0
Europe,Albania,2014,3.2,actual,dbd,0,0
Europe,Albania,2014,3.2,actual,dcd,0,0
Europe,Albania,2014,3.2,actual,total,0,0
Europe,Albania,2015,2.9,actual,dbd,0,0
Europe,Albania,2015,2.9,actual,dcd,0,0
Europe,Albania,2015,2.9,actual,total,0,0
Europe,Albania,2020,2.9,actual,dbd,0,0
Europe,Albania,2020,2.9,actual,dcd,0,0
Europe,Albania,2020,2.9,actual,total,0,0
Europe,Albania,2020,2.9,utilized,dbd,0,0
Europe,Albania,2020,2.9,utilized,dcd,0,0
Europe,Albania,2020,2.9,utilized,total,0,0
Europe,Albania,2022,2.9,actual,dbd,0,0
Europe,Albania,2022,2.9,actual,dcd,0,0
Europe,Albania,2022,2.9,actual,total,0,0
Europe,Albania,2022,2.9,utilized,dbd,0,0
Europe,Albania,2022,2.9,utilized,dcd,0,0
Europe,Albania,2022,2.9,utilized,total,0,0
Europe,Albania,2023,2.8,actual,dbd,0,0
Europe,Albania,2023,2.8,actual,dcd,0,0
Europe,Albania,2023,2.8,actual,total,0,0
Europe,Albania,2023,2.8,utilized,dbd,0,0
Europe,Albania,2023,2.8,utilized,dcd,0,0
Europe,Albania,2023,2.8,utilized,total,0,0
Europe,Albania,2024,2.8,actual,dbd,0,0
Europe,Albania,2024,2.8,actual,dcd,0,0
Europe,Albania,2024,2.8,actual,total,0,0
Europe,Albania,2024,2.8,utilized,dbd,0,0
Europe,Albania,2024,2.8,utilized,dcd,0,0
Europe,Albania,2024,2.8,utilized,total,0,0
Africa,Algeria,2009,34.9,actual,dbd,0,0
Africa,Algeria,2009,34.9,actual,dcd,0,0
Africa,Algeria,2009,34.9,actual,total,0,0
Africa,Algeria,2010,35.4,actual,total,1,0.02824858757062147
Africa,Algeria,2011,36,actual,dbd,0,0
Africa,Algeria,2011,36,actual,dcd,0,0
Africa,Algeria,2011,36,actual,total,0,0
Africa,Algeria,2012,36.5,actual,dbd,1,0.0273972602739726
Africa,Algeria,2012,36.5,actual,dcd,0,0
Africa,Algeria,2012,36.5,actual,total,1,0.0273972602739726
Africa,Algeria,2013,39.2,actual,dbd,0,0
Africa,Algeria,2013,39.2,actual,dcd,0,0
Africa,Algeria,2013,39.2,actual,total,0,0
Africa,Algeria,2013,39.2,utilized,dbd,0,0
Africa,Algeria,2013,39.2,utilized,dcd,0,0
Africa,Algeria,2013,39.2,utilized,total,0,0
Africa,Algeria,2014,39.9,actual,dbd,1,0.025062656641604012
Africa,Algeria,2014,39.9,actual,dcd,0,0
Africa,Algeria,2014,39.9,actual,total,1,0.025062656641604012
Africa,Algeria,2014,39.9,utilized,dbd,1,0.025062656641604012
Africa,Algeria,2014,39.9,utilized,dcd,0,0
Africa,Algeria,2014,39.9,utilized,total,1,0.025062656641604012
Africa,Algeria,2015,39.7,actual,dbd,1,0.025188916876574305
Africa,Algeria,2015,39.7,actual,dcd,0,0
Africa,Algeria,2015,39.7,actual,total,1,0.025188916876574305
Africa,Algeria,2015,39.7,utilized,dbd,1,0.025188916876574305
Africa,Algeria,2015,39.7,utilized,dcd,0,0
Africa,Algeria,2015,39.7,utilized,total,1,0.025188916876574305
Africa,Algeria,2018,42,actual,dbd,0,0
Africa,Algeria,2018,42,actual,dcd,0,0
Africa,Algeria,2018,42,actual,total,0,0
Africa,Algeria,2018,42,utilized,dbd,0,0
Africa,Algeria,2018,42,utilized,dcd,0,0
Africa,Algeria,2018,42,utilized,total,0,0
Africa,Algeria,2019,42.7,actual,dbd,1,0.023419203747072598
Africa,Algeria,2019,42.7,actual,dcd,0,0
Africa,Algeria,2019,42.7,actual,total,1,0.023419203747072598
Africa,Algeria,2019,42.7,utilized,dbd,1,0.023419203747072598
Africa,Algeria,2019,42.7,utilized,dcd,0,0
Africa,Algeria,2019,42.7,utilized,total,1,0.023419203747072598
Africa,Algeria,2020,43.9,actual,dbd,0,0
Africa,Algeria,2020,43.9,actual,dcd,0,0
Africa,Algeria,2020,43.9,actual,total,0,0
Africa,Algeria,2020,43.9,utilized,dbd,0,0
Africa,Algeria,2020,43.9,utilized,dcd,0,0
Africa,Algeria,2020,43.9,utilized,total,0,0
America,Argentina,2004,38.9,actual,dbd,403,10.359897172236504
America,Argentina,2004,38.9,actual,total,403,10.359897172236504
America,Argentina,2005,38.7,actual,dbd,407,10.516795865633075
America,Argentina,2005,38.7,actual,total,407,10.516795865633075
America,Argentina,2006,39.1,actual,total,462,11.815856777493606
America,Argentina,2007,39.5,actual,dbd,486,12.30379746835443
America,Argentina,2007,39.5,actual,total,486,12.30379746835443
America,Argentina,2008,39.9,actual,total,519,13.007518796992482
America,Argentina,2009,40.3,actual,dbd,500,12.40694789081886
America,Argentina,2009,40.3,actual,dcd,0,0
America,Argentina,2009,40.3,actual,total,500,12.40694789081886
America,Argentina,2010,40.7,actual,dbd,583,14.324324324324323
America,Argentina,2010,40.7,actual,dcd,0,0
America,Argentina,2010,40.7,actual,total,583,14.324324324324323
America,Argentina,2011,40.8,actual,dbd,604,14.803921568627452
America,Argentina,2011,40.8,actual,dcd,0,0
America,Argentina,2011,40.8,actual,total,604,14.803921568627452
America,Argentina,2012,41.1,actual,dbd,630,15.32846715328467
America,Argentina,2012,41.1,actual,dcd,0,0
America,Argentina,2012,41.1,actual,total,630,15.32846715328467
America,Argentina,2013,41.4,actual,dbd,568,13.719806763285025
America,Argentina,2013,41.4,actual,dcd,0,0
America,Argentina,2013,41.4,actual,total,568,13.719806763285025
America,Argentina,2013,41.4,utilized,dbd,516,12.46376811594203
America,Argentina,2013,41.4,utilized,dcd,0,0
America,Argentina,2013,41.4,utilized,total,516,12.46376811594203
America,Argentina,2014,41.8,actual,dbd,555,13.277511961722489
America,Argentina,2014,41.8,actual,dcd,0,0
America,Argentina,2014,41.8,actual,total,555,13.277511961722489
America,Argentina,2014,41.8,utilized,dbd,507,12.129186602870814
America,Argentina,2014,41.8,utilized,dcd,0,0
America,Argentina,2014,41.8,utilized,total,507,12.129186602870814
America,Argentina,2015,43.4,actual,dbd,592,13.640552995391706
America,Argentina,2015,43.4,actual,dcd,0,0
America,Argentina,2015,43.4,actual,total,592,13.640552995391706
America,Argentina,2015,43.4,utilized,dbd,516,11.889400921658986
America,Argentina,2015,43.4,utilized,dcd,0,0
America,Argentina,2015,43.4,utilized,total,516,11.889400921658986
America,Argentina,2016,43.8,actual,dbd,515,11.75799086757991
America,Argentina,2016,43.8,actual,dcd,0,0
America,Argentina,2016,43.8,actual,total,515,11.75799086757991
America,Argentina,2016,43.8,utilized,dbd,481,10.981735159817353
America,Argentina,2016,43.8,utilized,dcd,0,0
America,Argentina,2016,43.8,utilized,total,481,10.981735159817353
America,Argentina,2017,44.3,actual,dbd,593,13.386004514672686
America,Argentina,2017,44.3,actual,dcd,0,0
America,Argentina,2017,44.3,actual,total,593,13.386004514672686
America,Argentina,2017,44.3,utilized,dbd,546,12.325056433408578
America,Argentina,2017,44.3,utilized,dcd,0,0
America,Argentina,2017,44.3,utilized,total,546,12.325056433408578
America,Argentina,2018,44.7,actual,dbd,701,15.682326621923936
America,Argentina,2018,44.7,actual,dcd,1,0.022371364653243846
America,Argentina,2018,44.7,actual,total,702,15.70469798657718
America,Argentina,2018,44.7,utilized,dbd,643,14.384787472035793
America,Argentina,2018,44.7,utilized,dcd,1,0.022371364653243846
America,Argentina,2018,44.7,utilized,total,644,14.407158836689037
America,Argentina,2019,45.1,actual,dbd,883,19.57871396895787
America,Argentina,2019,45.1,actual,dcd,1,0.022172949002217293
America,Argentina,2019,45.1,actual,total,884,19.60088691796009
America,Argentina,2019,45.1,utilized,dbd,773,17.13968957871397
America,Argentina,2019,45.1,utilized,dcd,1,0.022172949002217293
America,Argentina,2019,45.1,utilized,total,774,17.161862527716185
America,Argentina,2020,45.2,actual,dbd,444,9.823008849557521
America,Argentina,2020,45.2,actual,dcd,1,0.022123893805309734
America,Argentina,2020,45.2,actual,total,445,9.84513274336283
America,Argentina,2020,45.2,utilized,dbd,413,9.13716814159292
America,Argentina,2020,45.2,utilized,dcd,1,0.022123893805309734
America,Argentina,2020,45.2,utilized,total,414,9.159292035398229
America,Argentina,2021,45.6,actual,dbd,630,13.81578947368421
America,Argentina,2021,45.6,actual,dcd,1,0.021929824561403508
America,Argentina,2021,45.6,actual,total,630,13.81578947368421
America,Argentina,2021,45.6,utilized,dbd,571,12.521929824561402
America,Argentina,2021,45.6,utilized,dcd,1,0.021929824561403508
America,Argentina,2021,45.6,utilized,total,571,12.521929824561402
America,Argentina,2022,46,actual,dbd,760,16.52173913043478
America,Argentina,2022,46,actual,dcd,7,0.15217391304347827
America,Argentina,2022,46,actual,total,767,16.67391304347826
America,Argentina,2022,46,utilized,dbd,682,14.826086956521738
America,Argentina,2022,46,utilized,dcd,7,0.15217391304347827
America,Argentina,2022,46,utilized,total,689,14.978260869565217
America,Argentina,2023,45.8,actual,dbd,790,17.24890829694323
America,Argentina,2023,45.8,actual,dcd,26,0.5676855895196506
America,Argentina,2023,45.8,actual,total,816,17.816593886462883
America,Argentina,2023,45.8,utilized,dbd,717,15.655021834061136
America,Argentina,2023,45.8,utilized,dcd,23,0.5021834061135372
America,Argentina,2023,45.8,utilized,total,740,16.157205240174672
America,Argentina,2024,46.1,actual,dbd,767,16.637744034707158
America,Argentina,2024,46.1,actual,dcd,36,0.7809110629067245
America,Argentina,2024,46.1,actual,total,803,17.418655097613883
America,Argentina,2024,46.1,utilized,dbd,693,15.032537960954446
America,Argentina,2024,46.1,utilized,dcd,32,0.6941431670281996
America,Argentina,2024,46.1,utilized,total,725,15.726681127982646
Europe,Armenia,2005,3,actual,dbd,0,0
Europe,Armenia,2005,3,actual,dcd,0,0
Europe,Armenia,2005,3,actual,total,0,0
Europe,Armenia,2012,3.1,actual,dbd,0,0
Europe,Armenia,2012,3.1,actual,dcd,0,0
Europe,Armenia,2012,3.1,actual,total,0,0
Europe,Armenia,2013,3,actual,dbd,0,0
Europe,Armenia,2013,3,actual,dcd,0,0
Europe,Armenia,2013,3,actual,total,0,0
Europe,Armenia,2013,3,utilized,dbd,0,0
Europe,Armenia,2013,3,utilized,dcd,0,0
Europe,Armenia,2013,3,utilized,total,0,0
Europe,Armenia,2014,3,actual,dbd,0,0
Europe,Armenia,2014,3,actual,dcd,0,0
Europe,Armenia,2014,3,actual,total,0,0
Europe,Armenia,2014,3,utilized,dbd,0,0
Europe,Armenia,2014,3,utilized,dcd,0,0
Europe,Armenia,2014,3,utilized,total,0,0
Europe,Armenia,2015,3,actual,dbd,0,0
Europe,Armenia,2015,3,actual,dcd,0,0
Europe,Armenia,2015,3,actual,total,0,0
Europe,Armenia,2015,3,utilized,dbd,0,0
Europe,Armenia,2015,3,utilized,dcd,0,0
Europe,Armenia,2015,3,utilized,total,0,0
Europe,Armenia,2016,3,actual,dbd,0,0
Europe,Armenia,2016,3,actual,dcd,0,0
Europe,Armenia,2016,3,actual,total,0,0
Europe,Armenia,2016,3,utilized,dbd,0,0
Europe,Armenia,2016,3,utilized,dcd,0,0
Europe,Armenia,2016,3,utilized,total,0,0
Europe,Armenia,2017,2.9,actual,dbd,0,0
Europe,Armenia,2017,2.9,actual,dcd,0,0
Europe,Armenia,2017,2.9,actual,total,0,0
Europe,Armenia,2017,2.9,utilized,dbd,0,0
Europe,Armenia,2017,2.9,utilized,dcd,0,0
Europe,Armenia,2017,2.9,utilized,total,0,0
Europe,Armenia,2018,2.9,actual,total,0,0
Europe,Armenia,2018,2.9,utilized,total,0,0
Europe,Armenia,2019,2.9,actual,dbd,0,0
Europe,Armenia,2019,2.9,actual,dcd,0,0
Europe,Armenia,2019,2.9,actual,total,0,0
Europe,Armenia,2019,2.9,utilized,dbd,0,0
Europe,Armenia,2019,2.9,utilized,dcd,0,0
Europe,Armenia,2019,2.9,utilized,total,0,0
Europe,Armenia,2020,3,actual,dbd,0,0
Europe,Armenia,2020,3,actual,dcd,0,0
Europe,Armenia,2020,3,actual,total,0,0
Europe,Armenia,2020,3,utilized,dbd,0,0
Europe,Armenia,2020,3,utilized,dcd,0,0
Europe,Armenia,2020,3,utilized,total,0,0
Europe,Armenia,2021,3,actual,dbd,0,0
Europe,Armenia,2021,3,actual,dcd,0,0
Europe,Armenia,2021,3,actual,total,0,0
Europe,Armenia,2021,3,utilized,dbd,0,0
