region,country,year,population_m,organ,source,transplants,transplants_pmp
Eastern Mediterranean,Afghanistan,2022,40.8,heart,total,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,kidney,deceased,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,kidney,living,132,3.235294117647059
Eastern Mediterranean,Afghanistan,2022,40.8,kidney,total,132,3.235294117647059
Eastern Mediterranean,Afghanistan,2022,40.8,kidneypancreas,total,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,liver,deceased,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,liver,domino,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,liver,living,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,liver,total,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,lung,deceased,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,lung,living,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,lung,total,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,pancreas,total,0,0
Eastern Mediterranean,Afghanistan,2022,40.8,smallbowel,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,heart,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,kidney,deceased,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,kidney,living,459,10.876777251184834
Eastern Mediterranean,Afghanistan,2023,42.2,kidney,total,459,10.876777251184834
Eastern Mediterranean,Afghanistan,2023,42.2,kidneypancreas,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,liver,deceased,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,liver,domino,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,liver,living,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,liver,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,lung,deceased,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,lung,living,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,lung,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,pancreas,total,0,0
Eastern Mediterranean,Afghanistan,2023,42.2,smallbowel,total,0,0
Europe,Albania,2008,3.2,kidney,living,1,0.3125
Europe,Albania,2008,3.2,kidney,total,1,0.3125
Europe,Albania,2010,3.2,heart,total,0,0
Europe,Albania,2010,3.2,kidney,deceased,0,0
Europe,Albania,2010,3.2,kidney,living,2,0.625
Europe,Albania,2010,3.2,kidney,total,2,0.625
Europe,Albania,2010,3.2,kidneypancreas,total,0,0
Europe,Albania,2010,3.2,liver,deceased,0,0
Europe,Albania,2010,3.2,liver,domino,0,0
Europe,Albania,2010,3.2,liver,living,0,0
Europe,Albania,2010,3.2,liver,total,0,0
Europe,Albania,2010,3.2,lung,total,0,0
Europe,Albania,2010,3.2,pancreas,total,0,0
Europe,Albania,2010,3.2,smallbowel,total,0,0
Europe,Albania,2011,3.2,heart,total,0,0
Europe,Albania,2011,3.2,kidney,deceased,0,0
Europe,Albania,2011,3.2,kidney,living,9,2.8125
Europe,Albania,2011,3.2,kidney,total,9,2.8125
Europe,Albania,2011,3.2,kidneypancreas,total,0,0
Europe,Albania,2011,3.2,liver,deceased,0,0
Europe,Albania,2011,3.2,liver,domino,0,0
Europe,Albania,2011,3.2,liver,living,0,0
Europe,Albania,2011,3.2,liver,total,0,0
Europe,Albania,2011,3.2,lung,deceased,0,0
Europe,Albania,2011,3.2,lung,living,0,0
Europe,Albania,2011,3.2,lung,total,0,0
Europe,Albania,2011,3.2,pancreas,total,0,0
Europe,Albania,2011,3.2,smallbowel,total,0,0
Europe,Albania,2012,3.2,heart,total,0,0
Europe,Albania,2012,3.2,kidney,deceased,0,0
Europe,Albania,2012,3.2,kidney,living,5,1.5625
Europe,Albania,2012,3.2,kidney,total,5,1.5625
Europe,Albania,2012,3.2,kidneypancreas,total,0,0
Europe,Albania,2012,3.2,liver,deceased,0,0
Europe,Albania,2012,3.2,liver,domino,0,0
Europe,Albania,2012,3.2,liver,living,0,0
Europe,Albania,2012,3.2,liver,total,0,0
Europe,Albania,2012,3.2,lung,deceased,0,0
Europe,Albania,2012,3.2,lung,living,0,0
Europe,Albania,2012,3.2,lung,total,0,0
Europe,Albania,2012,3.2,pancreas,total,0,0
Europe,Albania,2012,3.2,smallbowel,total,0,0
Europe,Albania,2013,3.2,kidney,living,9,2.8125
Europe,Albania,2013,3.2,kidney,total,9,2.8125
Europe,Albania,2013,3.2,liver,living,3,0.9375
Europe,Albania,2013,3.2,liver,total,3,0.9375
Europe,Albania,2014,3.2,kidney,deceased,0,0
Europe,Albania,2014,3.2,kidney,living,9,2.8125
Europe,Albania,2014,3.2,kidney,total,9,2.8125
Europe,Albania,2014,3.2,liver,deceased,0,0
Europe,Albania,2014,3.2,liver,living,3,0.9375
Europe,Albania,2014,3.2,liver,total,3,0.9375
Europe,Albania,2015,2.9,kidney,deceased,0,0
Europe,Albania,2015,2.9,kidney,living,9,3.103448275862069
Europe,Albania,2015,2.9,kidney,total,9,3.103448275862069
Europe,Albania,2015,2.9,liver,deceased,0,0
Europe,Albania,2015,2.9,liver,living,3,1.0344827586206897
Europe,Albania,2015,2.9,liver,total,3,1.0344827586206897
Europe,Albania,2020,2.9,heart,total,0,0
Europe,Albania,2020,2.9,kidney,deceased,0,0
